,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_userid,in_reply_to_tweetid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions
135318,644502820696256512,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,"Санкт-Петербург, Россия",♠️,,41,44,2015-09-08,ru,en,Work hard 🐥 http://t.co/ipt5e77xEI,2015-09-17 13:27:00,Twitter for iPhone,,,,False,,,absent,absent,0,0,0,0,[],[],[]
135380,911079871090008064,835861998214787072,ЯЖЕМАТЬ!,yazhemat,,Он же ребенок! #яжемать,https://t.co/wlEVKS6kj4,24361,6,2017-02-26,ru,en,it's a #trap https://t.co/gFFQ4NSMRB,2017-09-22 04:09:00,Buffer,,,,False,,,absent,absent,1,0,97,8,['trap'],[],[]
135393,1007206838121705473,uLY9MvP8DjtdZGThfoLOIx2ED0xevdhtiGqRWHhgU=,uLY9MvP8DjtdZGThfoLOIx2ED0xevdhtiGqRWHhgU=,uLY9MvP8DjtdZGThfoLOIx2ED0xevdhtiGqRWHhgU=,,,,46,38,2017-06-29,ru,en,"What's up in Armenia? 

https://t.co/UHDd8xcgRv",2018-06-14 10:23:00,TweetDeck,,,,False,,,absent,absent,0,0,0,0,[],['https://www.quora.com/Whats-up-in-Armenia/answer/Eugen-Strijenok-1'],[]
137187,648582717232148480,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,"Санкт-Петербург, Россия",♠️,,41,44,2015-09-08,ru,en,#saintp#night 🐰🌌🌑 https://t.co/lawtoB4mPx,2015-09-28 19:39:00,Instagram,,,,False,,,absent,absent,0,0,0,0,[],['https://instagram.com/p/8L7H_HxsJZ/'],[]
138304,960836353473818625,912599581820637184,Expo 2025 Russia,expo2025russia,,The official page of the Russian bid for Expo 2025,https://t.co/SLKSvL0qEF,40938,9,2017-09-26,ru,en,"Ekaterinburg’s Bid to Host EXPO 2025 Presented in the Maldives
https://t.co/UcVwbMasVc https://t.co/AsPaGHqaCq",2018-02-06 11:23:00,Twitter Web Client,,,,False,,,absent,absent,0,1,9,3,[],['https://exporussia2025.com/en/news/2266050'],[]
138339,1007142705862934529,912599581820637184,Expo 2025 Russia,expo2025russia,,The official page of the Russian bid for Expo 2025,https://t.co/SLKSvL0qEF,40938,9,2017-09-26,ru,en,"The Trylon and Perisphere – a three-edged obelisk 210 meters in height and a sphere 56 meters in diameter – became the symbols of the Expo. They were connected by the world's longest escalator. Neither structure has survived.

#expo2025 #vote4ekb https://t.co/P1FvhpTXaq",2018-06-14 06:08:00,TweetDeck,,,,False,,,absent,absent,0,1,0,1,"['expo2025', 'vote4ekb']",[],[]
138394,604205853428846593,kXFgx3LtVtSeuEDSstzJClaUxrj7SixXLvk6YXe74=,kXFgx3LtVtSeuEDSstzJClaUxrj7SixXLvk6YXe74=,kXFgx3LtVtSeuEDSstzJClaUxrj7SixXLvk6YXe74=,,,,483,61,2015-05-28,ru,en,I posted a new photo to Facebook http://t.co/ZMawRZTcJa,2015-05-29 08:41:00,Facebook,,,,False,,,absent,absent,0,0,0,0,[],['http://fb.me/6k402RBks'],[]
138395,607878329224589312,kXFgx3LtVtSeuEDSstzJClaUxrj7SixXLvk6YXe74=,kXFgx3LtVtSeuEDSstzJClaUxrj7SixXLvk6YXe74=,kXFgx3LtVtSeuEDSstzJClaUxrj7SixXLvk6YXe74=,,,,483,61,2015-05-28,ru,en,I posted a new photo to Facebook http://t.co/4e0AXs2IqJ,2015-06-08 11:54:00,Facebook,,,,False,,,absent,absent,0,0,0,0,[],['http://fb.me/6FwAGUbUq'],[]
139169,900470534504370177,mTIvbgSJBHYpsDSGrqcoEEAOq97hjLEyAKlEzwTScyQ=,mTIvbgSJBHYpsDSGrqcoEEAOq97hjLEyAKlEzwTScyQ=,mTIvbgSJBHYpsDSGrqcoEEAOq97hjLEyAKlEzwTScyQ=,,,,46,38,2017-06-29,ru,en,"Erdogan vows to 'chop off heads of traitors' at coup anniversary rally
https://t.co/dH3BjCCxEx",2017-08-23 21:31:00,TweetDeck,,,,False,,,absent,absent,0,0,0,0,[],['http://leonkuravson.livejournal.com/177060.html'],[]
139316,767341042895089664,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,"Санкт-Петербург, Россия",♠️,,41,44,2015-09-08,ru,en,Morning😽 https://t.co/26AfO9kasL,2016-08-21 12:42:00,Twitter for iPhone,,,,False,,,absent,absent,0,0,1,0,[],[],[]
141560,817899550111367169,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,"Санкт-Петербург, Россия",♠️,,41,44,2015-09-08,ru,en,Pause ➖,2017-01-08 01:03:00,Twitter for iPhone,,,,False,,,absent,absent,0,0,1,0,[],[],[]
141581,1007206970506514432,S3g6iRLArsu9P217ir7+IDpcLqMTT5TD7OPk4Q+Uw=,S3g6iRLArsu9P217ir7+IDpcLqMTT5TD7OPk4Q+Uw=,S3g6iRLArsu9P217ir7+IDpcLqMTT5TD7OPk4Q+Uw=,,,,46,38,2017-06-29,ru,en,"What's up in Armenia? 

https://t.co/cKjvbjH0Yo",2018-06-14 10:23:00,TweetDeck,,,,False,,,absent,absent,0,0,0,0,[],['https://www.quora.com/Whats-up-in-Armenia/answer/Eugen-Strijenok-1'],[]
143700,603917130820620289,kXFgx3LtVtSeuEDSstzJClaUxrj7SixXLvk6YXe74=,kXFgx3LtVtSeuEDSstzJClaUxrj7SixXLvk6YXe74=,kXFgx3LtVtSeuEDSstzJClaUxrj7SixXLvk6YXe74=,,,,483,61,2015-05-28,ru,en,I posted a new photo to Facebook http://t.co/y2Pow3OBp4,2015-05-28 13:33:00,Facebook,,,,False,,,absent,absent,0,0,0,0,[],['http://fb.me/6phpcfRUV'],[]
144050,1127239193481097217,A+CkaKFBnbhWbjRAh7RZ5w+pjns8b1KXCDWIJMyBzq4=,A+CkaKFBnbhWbjRAh7RZ5w+pjns8b1KXCDWIJMyBzq4=,A+CkaKFBnbhWbjRAh7RZ5w+pjns8b1KXCDWIJMyBzq4=,,,,2,54,2018-09-26,ru,en,RT @zaynmalik: .@DisneyMusic .@disneyaladdin  .@ZhaviaWard  “A Whole New World” Out Now! Film in theatres May 24! https://t.co/c1QC8xkQvE,2019-05-11 15:49:00,Twitter Web Client,,,,True,,1.1264841818007224e+18,absent,absent,0,0,0,0,[],[],"['176566242', '18027276', '1050110401793257472', '788823212335345665']"
145304,1136825307284029440,801547011807989766,СССР,USSR_Is_We,"Москва, Россия",Ностальгия,,50634,22288,2016-11-23,ru,en,Made in USSR https://t.co/AnsOHtsldq,2019-06-07 02:40:00,Twitter Web Client,,,,False,,,absent,absent,3,3,57,11,[],[],[]
145799,691273328628232193,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,"Санкт-Петербург, Россия",♠️,,41,44,2015-09-08,ru,en,I'm at A&amp;I&amp;B apartment https://t.co/5D8QdwaUiJ,2016-01-24 14:56:00,Foursquare,,,,False,,,present,present,0,0,0,0,[],['https://www.swarmapp.com/c/2z9ZLdqKO7L'],[]
145803,696626677003251712,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,"Санкт-Петербург, Россия",♠️,,41,44,2015-09-08,ru,en,Good morning everyone! Have a nice day! Take care of yourself and your loved ones 💛💎💙 https://t.co/4ndzWGJcX3,2016-02-08 09:28:00,Twitter for iPhone,,,,False,,,absent,absent,0,0,0,0,[],[],[]
147591,1146825983296790528,3601120683,"Архив студии карикатуры ""Чебурашка""",Of_Cheburashka,,Наш официальный аккаунт: @Of_Cheburashka_,,88601,73212,2015-09-09,ru,en,Russians Did It https://t.co/c8ldMZUaeY,2019-07-04 16:59:00,Twitter for Android,,,,False,,,absent,absent,0,2,51,14,[],[],[]
147814,985921278228955141,912599581820637184,Expo 2025 Russia,expo2025russia,,The official page of the Russian bid for Expo 2025,https://t.co/SLKSvL0qEF,40938,9,2017-09-26,ru,en,"Ekaterinburg government is going to transfer the former building of school to «Osobye Ludi» organization which helps special needs people. Building is an object of cultural heritage – the school has been constructed in the beginning of the 20th Century
https://t.co/IZrbxJpQHI https://t.co/3hclMAyupV",2018-04-16 16:42:00,Twitter for iPhone,,,,False,,,absent,absent,0,0,6,3,[],['https://www.facebook.com/EXPO2025Russia/posts/208286063094811'],[]
